Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request Hour,Request Day of Week,Trip Duration (minutes)
619,Airport,1,Trip completed,2016-07-11 11:51:00,2016-07-11 13:00:00,11,Monday,69.0
867,Airport,1,Trip completed,2016-07-11 17:57:00,2016-07-11 18:47:00,17,Monday,50.0
1807,City,1,Trip completed,2016-07-12 09:17:00,2016-07-12 09:58:00,9,Tuesday,41.0
2532,Airport,1,Trip completed,2016-07-12 21:08:00,2016-07-12 22:03:00,21,Tuesday,55.0
3112,City,1,Trip completed,2016-07-13 08:33:16,2016-07-13 09:25:47,8,Wednesday,52.516666666666666
3879,Airport,1,Trip completed,2016-07-13 21:57:28,2016-07-13 22:28:59,21,Wednesday,31.516666666666666
4270,Airport,1,Trip completed,2016-07-14 06:15:32,2016-07-14 07:13:15,6,Thursday,57.71666666666667
5510,Airport,1,Trip completed,2016-07-15 05:11:52,2016-07-15 06:07:52,5,Friday,56.0
6248,City,1,Trip completed,2016-07-15 17:57:27,2016-07-15 18:50:51,17,Friday,53.4
267,City,2,Trip completed,2016-07-11 06:46:00,2016-07-11 07:25:00,6,Monday,39.0
1467,Airport,2,Trip completed,2016-07-12 05:08:00,2016-07-12 06:02:00,5,Tuesday,54.0
1983,City,2,Trip completed,2016-07-12 12:30:00,2016-07-12 12:57:00,12,Tuesday,27.0
2784,Airport,2,Trip completed,2016-07-13 04:49:20,2016-07-13 05:23:03,4,Wednesday,33.71666666666667
3075,City,2,Trip completed,2016-07-13 08:02:53,2016-07-13 09:16:19,8,Wednesday,73.43333333333334
3379,City,2,Trip completed,2016-07-13 14:23:02,2016-07-13 15:35:18,14,Wednesday,72.26666666666667
3482,Airport,2,Trip completed,2016-07-13 17:23:18,2016-07-13 18:20:51,17,Wednesday,57.55
4652,City,2,Trip completed,2016-07-14 12:01:02,2016-07-14 12:36:46,12,Thursday,35.733333333333334
5335,Airport,2,Trip completed,2016-07-14 22:24:13,2016-07-14 23:18:52,22,Thursday,54.65
535,Airport,3,Trip completed,2016-07-11 10:00:00,2016-07-11 10:31:00,10,Monday,31.0
960,Airport,3,Trip completed,2016-07-11 18:45:00,2016-07-11 19:23:00,18,Monday,38.0
1934,Airport,3,Trip completed,2016-07-12 11:17:00,2016-07-12 12:23:00,11,Tuesday,66.0
2083,Airport,3,Trip completed,2016-07-12 15:46:00,2016-07-12 16:40:00,15,Tuesday,54.0
2211,Airport,3,Trip completed,2016-07-12 18:00:00,2016-07-12 18:28:00,18,Tuesday,28.0
3096,Airport,3,Trip completed,2016-07-13 08:17:29,2016-07-13 09:22:37,8,Wednesday,65.13333333333334
3881,Airport,3,Trip completed,2016-07-13 21:54:18,2016-07-13 22:51:23,21,Wednesday,57.083333333333336
5254,City,3,Trip completed,2016-07-14 21:23:03,2016-07-14 22:25:19,21,Thursday,62.266666666666666
5434,City,3,Trip completed,2016-07-15 02:41:38,2016-07-15 03:24:43,2,Friday,43.083333333333336
5916,City,3,Trip completed,2016-07-15 10:00:43,2016-07-15 10:53:06,10,Friday,52.38333333333333
669,City,4,Trip completed,2016-07-11 13:08:00,2016-07-11 13:49:00,13,Monday,41.0
1567,Airport,4,Trip completed,2016-07-12 06:21:00,2016-07-12 07:10:00,6,Tuesday,49.0
1826,City,4,Trip completed,2016-07-12 09:27:00,2016-07-12 10:27:00,9,Tuesday,60.0
2102,City,4,Trip completed,2016-07-12 16:09:00,2016-07-12 17:01:00,16,Tuesday,52.0
